id,name,description,type,source_url,image_url,image_path
26,Croisement avec feux tricolores,Croisement avec feux tricolores — panneau issu du Code de la route (liste des panneaux).,liste_des_panneaux,https://fr.wikibooks.org/wiki/Code_de_la_route/Liste_des_panneaux,https://upload.wikimedia.org/wikipedia/commons/3/38/France_road_sign_A17.svg,images\France_road_sign_A17.svg
188,"Créneau de dépassement à trois voies affectées, deux voies dans un sens et une voie dans l’autre","Créneau de dépassement à trois voies affectées, deux voies dans un sens et une voie dans l’autre — panneau issu du Code de la route (liste des panneaux).",liste_des_panneaux,https://fr.wikibooks.org/wiki/Code_de_la_route/Liste_des_panneaux,https://upload.wikimedia.org/wikipedia/commons/1/17/France_road_sign_C29b.svg,images\France_road_sign_C29b.svg
362,Cédez le passage,Cédez le passage — panneau issu du Code de la route (liste des panneaux).,liste_des_panneaux,https://fr.wikibooks.org/wiki/Code_de_la_route/Liste_des_panneaux,https://upload.wikimedia.org/wikipedia/commons/4/4d/France_road_sign_M9c.svg,images\France_road_sign_M9c.svg
35,Cédez le passage à l'intersection,Cédez le passage à l'intersection — panneau issu du Code de la route (liste des panneaux).,liste_des_panneaux,https://fr.wikibooks.org/wiki/Code_de_la_route/Liste_des_panneaux,https://upload.wikimedia.org/wikipedia/commons/f/fb/France_road_sign_AB3a.svg,images\France_road_sign_AB3a.svg
61,Cédez le passage à la circulation venant en sens inverse (interdiction de ne pas céder),Cédez le passage à la circulation venant en sens inverse (interdiction de ne pas céder) — panneau issu du Code de la route (liste des panneaux).,liste_des_panneaux,https://fr.wikibooks.org/wiki/Code_de_la_route/Liste_des_panneaux,https://upload.wikimedia.org/wikipedia/commons/6/6c/France_road_sign_B15.svg,images\France_road_sign_B15.svg
43,Danger,Danger — panneau issu du Code de la route (liste des panneaux).,liste_des_panneaux,https://fr.wikibooks.org/wiki/Code_de_la_route/Liste_des_panneaux,https://upload.wikimedia.org/wikipedia/commons/b/b3/France_road_sign_AK14.svg,images\France_road_sign_AK14.svg
21,"Danger non spécifié, pouvant être précisé par un panonceau","Danger non spécifié, pouvant être précisé par un panonceau — panneau issu du Code de la route (liste des panneaux).",liste_des_panneaux,https://fr.wikibooks.org/wiki/Code_de_la_route/Liste_des_panneaux,https://upload.wikimedia.org/wikipedia/commons/f/f4/France_road_sign_A14.svg,images\France_road_sign_A14.svg
320,Des deux côtés du panneau,Des deux côtés du panneau — panneau issu du Code de la route (liste des panneaux).,liste_des_panneaux,https://fr.wikibooks.org/wiki/Code_de_la_route/Liste_des_panneaux,https://upload.wikimedia.org/wikipedia/commons/5/58/France_road_sign_M8f.svg,images\France_road_sign_M8f.svg
25,Descente dangereuse,Descente dangereuse — panneau issu du Code de la route (liste des panneaux).,liste_des_panneaux,https://fr.wikibooks.org/wiki/Code_de_la_route/Liste_des_panneaux,https://upload.wikimedia.org/wikipedia/commons/5/5a/France_road_sign_A16.svg,images\France_road_sign_A16.svg
127,Direction obligatoire à la prochaine intersection : tout droit,Direction obligatoire à la prochaine intersection : tout droit — panneau issu du Code de la route (liste des panneaux).,liste_des_panneaux,https://fr.wikibooks.org/wiki/Code_de_la_route/Liste_des_panneaux,https://upload.wikimedia.org/wikipedia/commons/2/21/France_road_sign_B21b.svg,images\France_road_sign_B21b.svg
128,Direction obligatoire à la prochaine intersection : à droite,Direction obligatoire à la prochaine intersection : à droite — panneau issu du Code de la route (liste des panneaux).,liste_des_panneaux,https://fr.wikibooks.org/wiki/Code_de_la_route/Liste_des_panneaux,https://upload.wikimedia.org/wikipedia/commons/5/5f/France_road_sign_B21c1.svg,images\France_road_sign_B21c1.svg
129,Direction obligatoire à la prochaine intersection : à gauche,Direction obligatoire à la prochaine intersection : à gauche — panneau issu du Code de la route (liste des panneaux).,liste_des_panneaux,https://fr.wikibooks.org/wiki/Code_de_la_route/Liste_des_panneaux,https://upload.wikimedia.org/wikipedia/commons/5/57/France_road_sign_B21c2.svg,images\France_road_sign_B21c2.svg
315,Direction à suivre pour rencontrer le service annoncé : à droite,Direction à suivre pour rencontrer le service annoncé : à droite — panneau issu du Code de la route (liste des panneaux).,liste_des_panneaux,https://fr.wikibooks.org/wiki/Code_de_la_route/Liste_des_panneaux,https://upload.wikimedia.org/wikipedia/commons/0/09/France_road_sign_M8d.svg,images\France_road_sign_M8d.svg
